timestamp,elapsed_min,rss_bytes,handles,threads,root_entries
2026-09-10T14:59:37.8554480+02:00,5.1,11235328,157,7,1
2026-09-10T15:04:37.9867310+02:00,10.1,11161600,157,6,1
2026-09-10T15:09:38.0670405+02:00,15.1,11132928,157,5,1
2026-09-10T15:14:38.1404467+02:00,20.1,10080256,158,5,1
2026-09-10T15:19:38.2229366+02:00,25.1,11132928,157,5,1
2026-09-10T15:24:38.2510059+02:00,30.1,11137024,157,5,1
2026-09-10T15:29:38.3334907+02:00,35.1,11014144,157,5,1
2026-09-10T15:34:38.4107554+02:00,40.1,11210752,157,5,1
2026-09-10T15:39:38.4952484+02:00,45.1,11046912,157,5,1
2026-09-10T15:44:38.5743416+02:00,50.1,10936320,157,5,1
2026-09-10T15:49:38.7218522+02:00,55.1,10833920,157,5,1
2026-09-10T15:54:38.7793492+02:00,60.1,10833920,157,5,1
2026-09-10T15:59:38.8029456+02:00,65.1,10825728,157,5,1
2026-09-10T16:04:38.8381823+02:00,70.1,10637312,157,5,1
2026-09-10T16:09:38.8633117+02:00,75.1,10637312,157,5,1
2026-09-10T16:14:38.8826043+02:00,80.1,10768384,157,5,1
2026-09-10T16:19:38.9162173+02:00,85.1,10637312,157,5,1
2026-09-10T16:24:38.9538450+02:00,90.1,10637312,157,5,1
2026-09-10T16:29:38.9863100+02:00,95.1,10600448,157,5,1
2026-09-10T16:34:39.0237898+02:00,100.1,10637312,157,5,1
2026-09-10T16:39:39.0471971+02:00,105.1,10637312,157,5,1
2026-09-10T16:44:39.0619584+02:00,110.1,10596352,157,5,1
2026-09-10T16:49:39.0745868+02:00,115.1,10702848,157,5,1
2026-09-10T16:54:39.1001700+02:00,120.1,10698752,157,5,1
2026-09-10T16:59:39.1115145+02:00,125.1,10711040,157,5,1
2026-09-10T17:04:39.1274047+02:00,130.1,10702848,157,5,1
2026-09-10T17:09:39.1413771+02:00,135.1,10711040,157,5,1
2026-09-10T17:14:39.1576151+02:00,140.1,10715136,157,5,1
2026-09-10T17:19:39.1825383+02:00,145.1,10706944,157,5,1
2026-09-10T17:24:39.1945625+02:00,150.1,10641408,157,5,1
2026-09-10T17:29:39.2092575+02:00,155.1,10633216,157,5,1
2026-09-10T17:34:39.2195910+02:00,160.1,10633216,157,5,1
2026-09-10T17:39:39.2293456+02:00,165.1,10600448,157,5,1
2026-09-10T17:44:39.2431340+02:00,170.1,10633216,157,5,1
2026-09-10T17:49:39.2600204+02:00,175.1,10645504,158,5,1
2026-09-10T17:54:39.2757025+02:00,180.1,9580544,157,5,1
2026-09-10T17:59:39.2894035+02:00,185.1,9580544,157,5,1
2026-09-10T18:04:39.3118269+02:00,190.1,10633216,157,5,1
2026-09-10T18:09:39.3288712+02:00,195.1,10641408,157,5,1
2026-09-10T18:14:39.3400560+02:00,200.1,10629120,157,5,1
2026-09-10T18:19:39.3604771+02:00,205.1,10641408,157,5,1
2026-09-10T18:24:39.3726728+02:00,210.1,10645504,158,5,1
2026-09-10T18:29:39.3842451+02:00,215.1,10637312,157,5,1
2026-09-10T18:34:39.4082610+02:00,220.1,10645504,157,5,1
2026-09-10T18:39:39.4256107+02:00,225.1,10625024,157,5,1
2026-09-10T18:44:39.4409916+02:00,230.1,10633216,157,5,1
2026-09-10T18:49:39.4667962+02:00,235.1,10661888,157,5,1
2026-09-10T18:54:39.4854194+02:00,240.1,10698752,157,5,1
